cues,result,compare
4d,43800000,44300000
5c's,23900,22700
6c's,3090,3290
a bit the,819000,820000
a jay,504000,482000
aa,96000000,65900000
aapu,33400,33100
aathaa,2010,2150
abalone,1320000,1380000
abang,4930000,4510000
abang berg,27,42
abang bod,5,5
abang body,1140,1130
abang sapau,552,688
abc,46100000,47700000
abit,1630000,1270000
abit the,11300,11400
absent without official leave,4740,4610
acbc,72200,24900
achar,312000,302000
aci,5180000,4730000
act ah beng,141,167
act ah lian,56,53
act baik,92,178
act beng,276,99
act beng buay beng,3,5
act besar,53,52
act big,353000,344000
act big buay big,28900,32400
act bijak,265000,2
act blur,18800,18800
act bodoh,124,126
act cantik,6,4
act chio,863,877
act chio buay chio,43,43
act classy,7110,7320
act comel,7,4
act cool,83600,82200
act cool buay cool,23,30
act cute,159000,159000
act dao,954,928
act fierce,1620,1590
act funny,72900,74200
act garang,379,439
act gerek,4,5
act good,121000,121000
act handsome,9510,9360
act hot,342000,342000
act hot beh hot,963000,1130000
act hot buay hot,1,1
act jamb,6,5
act jambu,5,5
act kaya,960,1010
act ke ai,3,3
act ke lian,60,50
act kelakar,27900,26700
act kesian,1,1
act kiut,4,5
act kuai,8,13
act lawa,196,202
act lian,117,110
act lian buay lian,7,7
act lomantic,16600,1
act macho,3320,3480
act marah,5,5
act mat,3530,4720
act mat salleh,152000,108000
act minah,62,51
act muda,1340,1310
act nice,88400,88800
act pandai,99,93
act pelat,5,5
act rich buay rich,1,1
act sachok,5360,3970
act sad,6230,6320
act sedih,5,5
act sek,608,608
act seksi,623,642
act seksi buay seksi,22700000,19500000
act sexy,285000,296000
act shuai,52,54
act shuai beh shuai,33100,102000
act shuai buay shuai,21900,8
act sibuk,2,2
act silly,20200,19700
act slim,12700,12700
act smart,41400,41000
act smart buay smart,2,2
act stupid,35800,35200
act sweet,78400,92600
act sweet buay sweet,1,1
act tall,13400,13400
act tall buay tall,67100000,62300000
act terror,739,742
act tough,48100,49300
act yige,165,174
act young,258000,258000
action,406000000,486000000
action bedek,84,84
ada udang di balik batu,4730,4600
adoi,159000,177000
afbf,58200,60100
again,544000000,512000000
agak,4350000,3750000
agak agak,142000,82200
agak tarik,81,65
agakration,212,212
agar agar,324000,368000
agaration,2280,2620
ah tong ah seng,571,86
ah balling,15000,13300
ah beng,81300,65100
ah bengfied,9,6
ah bing ge,467,169
ah bu,45600,43700
ah chek,1610,2760
ah chew,43600,54600
ah dou,9610,7820
ah gong,41400,44300
ah huay,7230,5480
ah ka liau,1,1
ah kah,2020,1870
ah kah ah chew,162,110
ah kah chiew ji,36100,17100
ah kow,32200,46900
ah kua,6520,4610
